date,time,knots,windDir,gustKnots,airTemp,pressure,waterTemp
10/1/2012,0:00,4.47,78,8.16,83.5,1014.5,87.1
10/1/2012,1:00,4.86,76,7.58,83.5,1014.8,86.9
10/1/2012,2:00,5.25,67,8.16,83.1,1015.2,86.7
10/1/2012,3:00,4.86,72,8.75,82.8,1015.2,86.7
10/1/2012,4:00,3.5,81,5.44,83.3,1014.7,86.7
10/1/2012,5:00,6.41,82,9.91,83.8,1014.4,86.7
10/1/2012,6:00,7.19,95,12.63,83.8,1014,86.7
10/1/2012,7:00,2.14,86,3.5,80.2,1013.6,86.5
10/1/2012,8:00,4.47,46,7,80.8,1013.3,86.5
10/1/2012,9:00,4.86,82,7.19,81.1,1013.4,86.5
10/1/2012,10:00,5.44,76,8.16,81.3,1013.6,86.5
10/1/2012,11:00,5.05,92,8.55,83.1,1014.1,86.5
10/1/2012,12:00,6.41,105,11.27,84.7,1014.7,86.4
10/1/2012,13:00,6.41,97,10.89,85.6,1015.3,86.4
10/1/2012,14:00,1.94,138,7.19,87.1,1015.7,86.4
10/1/2012,15:00,3.69,110,8.94,87.8,1015.7,86.5
10/1/2012,16:00,5.25,137,8.55,86.4,1014.9,86.7
10/1/2012,17:00,1.75,126,7,88.5,1014.3,86.7
10/1/2012,18:00,3.11,114,8.94,88.7,1013.7,86.9
10/1/2012,19:00,6.03,96,11.86,87.4,1013.3,86.9
10/1/2012,20:00,7.19,94,14.38,86,1013.2,87.1
10/1/2012,21:00,9.33,91,14,84.7,1013.5,87.1
10/1/2012,22:00,5.05,67,9.14,84.2,1013.8,86.9
10/1/2012,23:00,2.53,152,7.78,83.7,1013.8,86.7
10/2/2012,0:00,5.83,73,9.52,79.3,1014.6,86.5
10/2/2012,1:00,5.44,75,10.3,81.5,1015,86.5
10/2/2012,2:00,3.69,140,12.25,83.3,1015,86.5
10/2/2012,3:00,4.67,97,7.39,81.9,1015,86.5
10/2/2012,4:00,4.67,74,8.94,81.7,1014.8,86.5
10/2/2012,5:00,4.08,67,7.58,81.7,1014.5,86.5
10/2/2012,6:00,9.14,84,14.38,82.4,1013.9,86.5
10/2/2012,7:00,4.86,66,8.36,82.2,1013.9,86.5
10/2/2012,8:00,11.47,94,16.33,82,1013.7,86.4
10/2/2012,9:00,4.67,74,8.16,80.8,1013.9,86.2
10/2/2012,10:00,5.44,46,8.36,81.7,1014.3,86
10/2/2012,11:00,11.08,98,19.63,78.3,1015.6,86
10/2/2012,12:00,5.44,96,8.75,78.3,1016,86
10/2/2012,13:00,6.61,73,12.05,80.2,1016.1,86
10/2/2012,14:00,6.61,94,9.14,82.6,1016.2,86
10/2/2012,15:00,5.83,118,16.13,86.2,1016.2,85.8
10/2/2012,16:00,7.19,118,16.72,86.7,1015.6,86
10/2/2012,17:00,4.08,114,11.66,85.8,1015.1,85.8
10/2/2012,18:00,2.53,143,13.41,86.7,1014.7,86.2
10/2/2012,19:00,5.83,139,10.69,84.7,1014.3,86
10/2/2012,20:00,3.69,138,12.44,86.5,1014.3,86
10/2/2012,21:00,8.16,103,15.36,85.5,1014.3,86
10/2/2012,22:00,2.92,135,8.55,84.6,1014.7,86
10/2/2012,23:00,7.78,92,12.63,84,1015.1,86
10/3/2012,0:00,8.55,82,13.22,83.8,1015.6,86
10/3/2012,1:00,8.94,93,15.16,83.7,1016,86
10/3/2012,2:00,8.55,93,14,83.8,1016.2,85.8
10/3/2012,3:00,6.8,83,11.08,83.7,1016.1,85.6
10/3/2012,4:00,7.39,84,12.05,83.1,1015.9,85.6
10/3/2012,5:00,6.41,80,9.52,82.9,1015.5,85.6
10/3/2012,6:00,6.41,76,10.89,82.8,1014.8,85.5
10/3/2012,7:00,7,76,11.66,82.6,1014.5,85.5
10/3/2012,8:00,6.61,77,11.86,82.4,1014.3,85.5
10/3/2012,9:00,5.83,75,10.3,82,1014.6,85.5
10/3/2012,10:00,7.39,64,11.86,81.9,1014.8,85.3
10/3/2012,11:00,5.64,76,9.33,82.6,1015.4,85.3
10/3/2012,12:00,7,87,12.25,84.9,1015.9,85.3
10/3/2012,13:00,5.05,98,12.25,86,1016.7,85.3
10/3/2012,14:00,3.3,156,7.58,86.5,1016.8,85.3
10/3/2012,15:00,6.61,95,13.22,86.5,1016.6,85.3
10/3/2012,16:00,11.47,72,19.05,87.1,1016.1,85.5
10/3/2012,17:00,8.94,84,17.3,86.5,1015.5,85.5
10/3/2012,18:00,10.89,65,15.94,86.2,1014.4,85.6
10/3/2012,19:00,7.97,93,13.22,86.7,1014.2,85.6
10/3/2012,20:00,8.55,68,13.61,85.6,1014.2,85.5
10/3/2012,21:00,7.39,65,15.94,85.5,1014.3,85.6
10/3/2012,22:00,7.19,74,12.44,83.5,1014.4,85.5
10/3/2012,23:00,4.86,77,9.33,82.8,1014.5,85.5
10/4/2012,0:00,5.25,70,9.52,83.1,1014.8,85.5
10/4/2012,1:00,7.58,89,12.05,82.8,1015.6,85.5
10/4/2012,2:00,5.05,69,11.47,82.9,1015.6,85.5
10/4/2012,3:00,6.03,76,9.14,82.8,1015.4,85.3
10/4/2012,4:00,4.67,72,8.16,82.8,1015.2,85.3
10/4/2012,5:00,4.47,74,7.97,82.4,1014.8,85.3
10/4/2012,6:00,5.64,76,9.52,82.2,1014.2,85.1
10/4/2012,7:00,5.05,60,9.33,82,1013.7,85.1
10/4/2012,8:00,4.86,63,9.52,82,1013.5,85.1
10/4/2012,9:00,5.64,77,10.89,82.2,1013.6,84.9
10/4/2012,10:00,5.44,82,7.97,81.7,1014.1,84.9
10/4/2012,11:00,5.25,75,9.72,82.4,1014.5,84.9
10/4/2012,12:00,8.36,90,12.25,84.6,1015.1,84.9
10/4/2012,13:00,7.78,83,12.63,85.8,1015.1,84.9
10/4/2012,14:00,1.94,154,8.36,86.7,1015.3,84.9
10/4/2012,15:00,4.08,125,10.89,86.9,1015,85.1
10/4/2012,16:00,3.3,151,9.14,87.3,1014.1,85.1
10/4/2012,17:00,7.39,145,12.44,86.7,1013.4,85.3
10/4/2012,18:00,6.41,112,13.22,86.2,1012.5,85.8
10/4/2012,19:00,2.72,154,8.94,85.8,1012.2,85.8
10/4/2012,20:00,5.05,90,8.55,86.2,1011.9,85.8
10/4/2012,21:00,7.39,66,12.25,85.3,1011.9,85.8
10/4/2012,22:00,4.47,74,7.78,84,1012.1,85.6
10/4/2012,23:00,6.61,63,10.3,83.5,1012.1,85.6
10/5/2012,0:00,4.67,68,9.72,83.5,1012.4,85.6
10/5/2012,1:00,5.44,67,9.33,83.1,1012.8,85.5
10/5/2012,2:00,5.44,68,8.94,82.8,1012.7,85.3
10/5/2012,3:00,4.28,67,7.97,82.9,1012.6,85.3
10/5/2012,4:00,5.25,68,7.97,82.6,1012.1,85.3
10/5/2012,5:00,4.08,82,7.39,82.2,1011.5,85.3
10/5/2012,6:00,4.08,68,8.55,82,1011,85.3
10/5/2012,7:00,4.47,77,7.97,81.9,1010.4,85.3
10/5/2012,8:00,5.05,55,6.8,81.3,1010.2,85.1
10/5/2012,9:00,5.05,50,6.41,81.1,1010.6,85.1
10/5/2012,10:00,4.08,47,6.22,81.1,1010.9,85.1
10/5/2012,11:00,4.67,53,6.41,81.9,1011.4,84.9
10/5/2012,12:00,7,61,10.3,83.8,1011.7,84.9
10/5/2012,13:00,5.64,74,10.11,85.1,1012.2,84.9
10/5/2012,14:00,8.36,59,11.66,84.2,1012.2,84.9
10/5/2012,15:00,5.05,52,11.08,87.3,1011.9,85.1
10/5/2012,16:00,6.61,40,11.08,87.3,1011.2,85.3
10/5/2012,17:00,6.8,68,11.08,86.9,1010.5,85.3
10/5/2012,18:00,7.58,45,13.22,87.8,1009.5,85.5
10/5/2012,19:00,5.05,43,9.14,86.9,1008.9,85.5
10/5/2012,20:00,6.03,49,9.91,86.4,1008.7,85.6
10/5/2012,21:00,5.64,43,7.78,84.7,1008.7,85.6
10/5/2012,22:00,4.08,86,5.83,83.8,1008.9,85.3
10/5/2012,23:00,2.33,64,5.25,82.9,1008.9,85.3
10/6/2012,0:00,2.92,90,4.08,82,1009.5,85.3
10/6/2012,1:00,2.92,95,4.28,82.2,1009.7,85.3
10/6/2012,2:00,2.33,89,3.11,82,1010,85.3
10/6/2012,3:00,1.94,17,2.53,81.7,1009.9,85.3
10/6/2012,4:00,2.53,11,2.92,80.8,1009.8,85.3
10/6/2012,5:00,1.75,17,2.53,80.1,1009.5,85.1
10/6/2012,6:00,2.33,7,3.11,79.3,1008.6,85.1
10/6/2012,7:00,2.53,15,2.92,79.2,1008.3,85.1
10/6/2012,8:00,2.53,22,3.11,78.8,1007.8,85.1
10/6/2012,9:00,1.17,31,1.75,78.6,1007.7,85.1
10/6/2012,10:00,3.11,18,3.69,78.3,1008.5,85.1
10/6/2012,11:00,1.56,26,2.53,79.5,1009.1,85.1
10/6/2012,12:00,2.33,141,3.89,84,1009.7,85.1
10/6/2012,13:00,3.5,184,5.83,83.3,1010.2,85.1
10/6/2012,14:00,4.28,186,5.83,83.5,1010.6,85.1
10/6/2012,15:00,5.05,197,6.03,83.1,1010.5,85.6
10/6/2012,16:00,6.22,201,7.39,83.1,1010.2,85.8
10/6/2012,17:00,5.64,202,6.8,83.3,1009.7,86.4
10/6/2012,18:00,8.75,205,10.3,83.1,1008.8,86.5
10/6/2012,19:00,4.86,36,6.8,83.1,1008.9,86.5
10/6/2012,20:00,1.36,201,1.94,83.3,1008.3,86.5
10/6/2012,21:00,0.58,182,1.56,84.7,1008.3,86.5
10/6/2012,22:00,1.75,212,2.33,83.5,1008.7,86
10/6/2012,23:00,2.14,208,2.72,83.3,1009.6,86.2
10/7/2012,0:00,3.11,37,3.89,82,1010.1,86.2
10/7/2012,1:00,1.94,75,3.69,82,1010.5,86
10/7/2012,2:00,0.39,334,1.56,82,1010.9,86
10/7/2012,3:00,4.67,162,7,83.3,1010.8,85.8
10/7/2012,4:00,8.16,183,9.33,83.3,1010.9,85.8
10/7/2012,5:00,7.78,185,9.33,83.1,1010.7,85.8
10/7/2012,6:00,5.05,178,6.41,82.9,1010,85.6
10/7/2012,7:00,6.03,163,8.75,82.8,1009.9,85.6
10/7/2012,8:00,5.64,165,7.78,82.9,1009.9,85.6
10/7/2012,9:00,4.67,159,7.39,82.8,1010.1,85.6
10/7/2012,10:00,4.67,157,6.22,82.6,1010.7,85.5
10/7/2012,11:00,1.75,86,3.5,83.3,1011.6,85.5
10/7/2012,12:00,3.5,154,5.44,84.2,1012.5,85.5
10/7/2012,13:00,4.67,159,8.36,85.1,1013.1,85.5
10/7/2012,14:00,3.3,160,5.44,85.5,1013.6,85.6
10/7/2012,15:00,4.67,160,7.39,86.2,1013.4,85.6
10/7/2012,16:00,3.89,163,7.19,86.4,1013.2,85.8
10/7/2012,17:00,5.44,155,8.75,86.4,1012.8,86
10/7/2012,18:00,7.39,171,13.41,86,1012.3,86
10/7/2012,19:00,6.41,159,8.55,85.6,1011.9,86.4
10/7/2012,20:00,3.69,138,6.8,86.4,1011.9,86.5
10/7/2012,21:00,2.72,110,6.22,86,1012,86.7
10/7/2012,22:00,4.28,142,7.19,84.9,1012.7,86.5
10/7/2012,23:00,2.14,151,7.58,84,1013.4,86.5
10/8/2012,0:00,5.64,82,8.94,82.2,1013.9,86.5
10/8/2012,1:00,4.86,62,8.55,82.9,1014.2,86.4
10/8/2012,2:00,3.89,147,7.58,84.2,1014.5,86.2
10/8/2012,3:00,1.94,120,5.83,84.2,1014.5,86.2
10/8/2012,4:00,3.69,91,8.75,83.8,1014.4,86.2
10/8/2012,5:00,6.03,165,8.16,82.8,1014.1,86.2
10/8/2012,6:00,3.11,103,6.61,82.8,1013.8,86.2
10/8/2012,7:00,3.89,125,8.55,82.8,1013.5,86.2
10/8/2012,8:00,2.72,98,5.64,81.7,1012.8,86.2
10/8/2012,9:00,4.28,165,6.8,82,1013.2,86.2
10/8/2012,10:00,3.11,144,5.25,82.2,1014,86
10/8/2012,11:00,7,160,9.72,82.9,1014.6,85.8
10/8/2012,12:00,4.47,152,7.97,84.6,1015.1,85.6
10/8/2012,13:00,4.47,141,7.19,85.3,1015.5,85.8
10/8/2012,14:00,2.72,146,6.8,86.5,1016,85.8
