date,time,knots,windDir,gustKnots,airTemp,pressure,waterTemp
8/1/2015,0:00,8.94,97,16.72,83.3,1016.1,84.7
8/1/2015,1:00,10.3,100,16.91,82.9,1016.5,84.7
8/1/2015,2:00,11.27,100,18.08,83.3,1017,84.6
8/1/2015,3:00,8.94,89,16.91,82.8,1017.1,84.6
8/1/2015,4:00,7.39,88,14,82.6,1016.8,84.6
8/1/2015,5:00,6.41,87,10.5,82,1016.4,84.4
8/1/2015,6:00,8.94,95,14.58,82.4,1015.7,84.4
8/1/2015,7:00,9.52,102,19.05,82.4,1015.3,84.4
8/1/2015,8:00,6.61,106,12.05,82.4,1015.3,84
8/1/2015,9:00,7.39,74,10.89,82,1015.6,84
8/1/2015,10:00,5.83,80,8.16,81.3,1015.7,84
8/1/2015,11:00,5.25,89,10.11,82.4,1015.9,83.8
8/1/2015,12:00,11.27,101,17.11,84,1016.2,83.8
8/1/2015,13:00,7.97,105,13.8,84.7,1016.4,83.7
8/1/2015,14:00,4.47,127,13.61,84.9,1016.6,83.8
8/1/2015,15:00,5.83,108,16.72,85.5,1016.4,83.8
8/1/2015,16:00,4.86,133,16.13,85.6,1016.1,84
8/1/2015,17:00,7.58,144,14.19,85.8,1015.8,84.2
8/1/2015,18:00,7.97,138,13.41,84.9,1015.1,84.4
8/1/2015,19:00,5.83,140,9.91,85.3,1014.5,84.6
8/1/2015,20:00,2.53,72,6.61,86.5,1014.2,84.4
8/1/2015,21:00,5.05,78,9.72,84.9,1014.1,84.7
8/1/2015,22:00,8.16,57,14.38,84.6,1014.1,84.7
8/1/2015,23:00,8.55,71,13.22,83.7,1014.7,84.9
8/2/2015,0:00,5.05,61,8.75,83.1,1014.8,84.9
8/2/2015,1:00,9.33,66,13.41,82.2,1015.3,84.9
8/2/2015,2:00,8.94,73,11.66,82.2,1015.6,84.7
8/2/2015,3:00,8.55,70,12.63,82.2,1015.6,84.6
8/2/2015,4:00,8.36,50,12.05,82.4,1015.2,84.6
8/2/2015,5:00,8.75,81,12.05,82.4,1014.5,84.4
8/2/2015,6:00,6.8,79,9.91,81.9,1014.1,84.4
8/2/2015,7:00,4.08,81,6.61,81.7,1013.9,84.4
8/2/2015,8:00,7.78,68,12.25,78.8,1013.8,84.2
8/2/2015,9:00,5.05,45,7.39,76.8,1014.1,84.4
8/2/2015,10:00,1.75,60,3.11,77.9,1013.7,84.4
8/2/2015,11:00,4.86,62,7.39,79.9,1014.1,84.4
8/2/2015,12:00,8.55,77,11.47,82.8,1014,84.2
8/2/2015,13:00,8.16,75,12.05,82,1014.7,84.2
8/2/2015,14:00,3.69,146,12.25,83.1,1014.9,84.4
8/2/2015,15:00,4.28,91,11.08,84.7,1014.9,84.4
8/2/2015,16:00,3.11,104,8.36,85.3,1014.9,84.6
8/2/2015,17:00,5.05,144,9.14,84.9,1014.5,84.7
8/2/2015,18:00,1.56,216,5.44,85.8,1013.9,85.1
8/2/2015,19:00,3.3,143,8.16,85.6,1013.3,84.9
8/2/2015,20:00,4.47,98,8.36,86.2,1013.3,85.1
8/2/2015,21:00,4.28,87,9.14,85.5,1013.2,85.1
8/2/2015,22:00,2.33,123,7.39,84.9,1013.3,85.5
8/2/2015,23:00,3.89,66,7.78,83.7,1013.8,85.5
8/3/2015,0:00,4.28,105,9.91,83.5,1014.4,85.1
8/3/2015,1:00,7.19,74,9.52,81.9,1014.8,85.3
8/3/2015,2:00,5.25,139,13.8,83.5,1015.2,85.3
8/3/2015,3:00,7.19,138,13.41,83.5,1015.6,85.3
8/3/2015,4:00,4.47,131,10.3,83.1,1015,85.1
8/3/2015,5:00,6.03,136,14.97,83.3,1014.6,85.1
8/3/2015,6:00,6.22,121,18.47,83.1,1014.3,85.1
8/3/2015,7:00,6.41,123,16.13,82.6,1014.1,84.9
8/3/2015,8:00,2.92,144,10.11,82.9,1014.2,84.9
8/3/2015,9:00,5.44,135,13.22,82.4,1014.3,84.7
8/3/2015,10:00,6.8,140,14.19,82.8,1014.6,84.7
8/3/2015,11:00,5.83,140,12.25,82.9,1015.2,84.6
8/3/2015,12:00,6.41,143,13.8,84,1015.5,84.6
8/3/2015,13:00,4.86,128,14,84.9,1015.6,84.4
8/3/2015,14:00,6.03,109,13.41,85.3,1016,84.6
8/3/2015,15:00,9.72,105,17.88,85.6,1016.1,84.7
8/3/2015,16:00,5.64,118,14.58,86.2,1016.2,84.9
8/3/2015,17:00,4.47,98,14.19,87.1,1016,84.6
8/3/2015,18:00,5.83,115,10.11,86.9,1015.2,84.9
8/3/2015,19:00,6.61,111,14.19,86.7,1015,85.1
8/3/2015,20:00,6.41,113,15.16,86,1014.6,85.1
8/3/2015,21:00,5.83,117,12.25,85.6,1014.7,85.3
8/3/2015,22:00,6.61,110,16.52,84.9,1014.9,85.3
8/3/2015,23:00,7,95,14,84.2,1015.1,85.5
8/4/2015,0:00,7.19,93,20.02,83.7,1015.7,85.5
8/4/2015,1:00,7.39,82,14.19,83.5,1016.4,85.3
8/4/2015,2:00,6.61,103,14.97,83.7,1016.9,85.3
8/4/2015,3:00,4.08,112,11.08,83.7,1017.2,85.1
8/4/2015,4:00,3.3,131,10.69,83.3,1016.8,85.1
8/4/2015,5:00,5.44,108,14,82.9,1016.4,84.9
8/4/2015,6:00,6.8,112,15.55,82.9,1016,84.7
8/4/2015,7:00,4.86,93,11.27,82.8,1015.8,84.6
8/4/2015,8:00,6.61,99,16.91,82.8,1015.8,84.6
8/4/2015,9:00,5.05,93,11.86,82.2,1016.3,84.4
8/4/2015,10:00,4.67,86,11.47,82.4,1016.4,84.4
8/4/2015,11:00,5.83,96,11.27,83.1,1017.1,84.2
8/4/2015,12:00,6.03,112,11.08,84.2,1017.2,84.2
8/4/2015,13:00,3.3,150,9.91,84.9,1017.6,84.2
8/4/2015,14:00,3.5,140,8.75,84.7,1017.5,84.2
8/4/2015,15:00,4.08,131,11.66,85.8,1017.6,84.4
8/4/2015,16:00,3.69,103,12.44,86.5,1017.5,85.1
8/4/2015,17:00,2.92,158,10.69,86.5,1017,85.1
8/4/2015,18:00,3.89,142,10.5,86.2,1016.4,85.1
8/4/2015,19:00,5.44,114,14.77,86.7,1016,85.5
8/4/2015,20:00,5.05,132,11.27,86,1015.5,85.6
8/4/2015,21:00,8.75,97,16.33,84,1015.5,85.6
8/4/2015,22:00,5.64,107,11.86,84,1015.6,85.6
8/4/2015,23:00,7.58,51,10.5,81.5,1015.9,85.6
8/5/2015,0:00,6.61,83,9.52,80.2,1016.6,85.5
8/5/2015,1:00,6.22,77,9.72,79.9,1017.1,85.3
8/5/2015,2:00,5.25,80,9.33,79.9,1017.2,85.3
8/5/2015,3:00,8.55,73,12.83,80.2,1017.4,85.1
8/5/2015,4:00,6.61,77,9.33,80.6,1017.2,85.1
8/5/2015,5:00,7.78,74,10.5,80.8,1016.5,85.1
8/5/2015,6:00,7.58,73,11.08,81,1016,85.1
8/5/2015,7:00,6.22,94,10.89,81,1015.9,84.9
8/5/2015,8:00,7,82,10.3,80.8,1015.8,84.7
8/5/2015,9:00,6.22,80,8.94,80.4,1015.7,84.7
8/5/2015,10:00,7,76,10.11,80.4,1015.8,84.7
8/5/2015,11:00,5.64,113,12.05,81.9,1016.2,84.6
8/5/2015,12:00,4.28,133,11.66,83.1,1016.5,84.6
8/5/2015,13:00,3.3,140,8.16,84.2,1016.6,84.6
8/5/2015,14:00,3.3,132,8.94,84.7,1016.9,84.7
8/5/2015,15:00,5.05,115,12.63,85.1,1016.7,84.9
8/5/2015,16:00,6.22,141,12.25,84.9,1016.3,84.7
8/5/2015,17:00,2.14,135,7.58,85.6,1016,85.1
8/5/2015,18:00,3.69,131,9.33,86.2,1015.3,85.1
8/5/2015,19:00,4.67,133,12.63,85.6,1014.8,85.5
