"","x"
"1",77.2
"2",77.5
"3",77
"4",76.1
"5",75.7
"6",76.1
"7",75.4
"8",75.7
"9",75.7
"10",74.8
"11",75
"12",75.6
"13",74.8
"14",74.5
"15",75.2
"16",78.1
"17",79.5
"18",78.6
"19",78.4
"20",79.2
"21",80.6
"22",79.7
"23",79
"24",78.3
"25",78.1
"26",77.4
"27",76.1
"28",75.7
"29",75.4
"30",75
"31",74.8
"32",75
"33",74.8
"34",74.5
"35",74.7
"36",74.1
"37",73.6
"38",73.4
"39",73.9
"40",76.5
"41",78.1
"42",78.8
"43",79.2
"44",79.5
"45",79.5
"46",79.2
"47",79.2
"48",78.6
"49",78.4
"50",77.4
"51",75.2
"52",74.8
"53",74.7
"54",73.9
"55",74.1
"56",73.2
"57",74.1
"58",74.1
"59",73.8
"60",73.2
"61",73.8
"62",75.2
"63",77.7
"64",78.8
"65",80.1
"66",79.7
"67",79.3
"68",77.2
"69",78.6
"70",76.8
"71",76.1
"72",75.7
"73",73.8
"74",74.7
"75",75
"76",75.4
"77",74.7
"78",74.7
"79",73.6
"80",73.4
"81",72.3
"82",71.2
"83",73
"84",76.1
"85",78.1
"86",78.8
"87",79.7
"88",80.2
"89",81.1
"90",80.2
"91",78.8
"92",79.7
"93",79
"94",77.2
"95",75.2
"96",75.4
"97",75
"98",74.8
"99",74.5
"100",74.1
"101",73.4
"102",73
"103",72.5
"104",72.9
"105",72.7
"106",72.5
"107",72.3
"108",73.4
"109",75.6
"110",78.1
"111",74.8
"112",76.6
"113",78.6
"114",76.5
"115",72.1
"116",74.7
"117",74.5
"118",73.6
"119",73.4
"120",73
"121",73
"122",72.7
"123",72.7
"124",72.7
"125",72.1
"126",72
"127",72
"128",71.8
"129",71.2
"130",72.3
"131",75.7
"132",77
"133",79
"134",80.1
"135",79.2
"136",79.9
"137",80.1
"138",79.2
"139",77.9
"140",76.6
"141",73.8
"142",73.4
"143",73.4
"144",73.2
"145",73
"146",73
"147",72.3
"148",72.1
"149",72
"150",72.1
"151",72.1
"152",72.3
"153",72.3
"154",74.5
"155",76.1
"156",76.5
"157",76.3
"158",78.4
"159",78.1
"160",77
"161",78.4
"162",78.6
"163",76.5
"164",75.4
"165",73.2
"166",72.7
"167",73
"168",72.9
"169",72.7
"170",72.3
"171",71.8
"172",72.3
"173",72.3
"174",72
"175",72.3
"176",72.1
"177",74.5
"178",76.8
"179",77
"180",77.4
"181",78.3
"182",78.1
"183",78.1
"184",77.7
"185",77.4
"186",77.4
"187",76.5
"188",74.8
"189",74.5
"190",74.5
"191",73.8
"192",73.9
"193",73.9
"194",73.9
"195",73.9
"196",74.8
"197",74.1
"198",73
"199",72.5
"200",73
"201",76.3
"202",77.7
"203",78.4
"204",79.2
"205",79.5
"206",79.9
"207",79.3
"208",79
"209",78.6
"210",78.1
"211",76.3
"212",76.6
"213",76.6
"214",76.5
"215",76.5
"216",76.3
"217",76.1
"218",75.4
"219",75.9
"220",74.8
"221",75.6
"222",74.1
"223",77.2
"224",79.2
"225",80.2
"226",81
"227",80.6
"228",79.7
"229",79.7
"230",79.7
"231",79.2
"232",78.6
"233",78.1
"234",77
"235",76.3
"236",75.7
"237",75.7
"238",75.4
"239",75
"240",74.7
"241",74.5
"242",73.2
"243",73.6
"244",74.8
"245",73.9
"246",76.1
"247",78.3
"248",79.5
"249",78.8
"250",80.4
"251",81.3
"252",81.1
"253",79.9
"254",79.7
"255",79.3
"256",79
"257",79.7
"258",77.2
"259",77
"260",76.5
"261",75.9
"262",75.6
"263",74.8
"264",74.3
"265",73.6
"266",74.3
"267",74.7
"268",74.7
"269",74.3
"270",74.8
"271",78.3
"272",80.2
"273",81.1
"274",81
"275",79.5
"276",81.3
"277",81
"278",81.7
"279",81.3
"280",79.9
"281",78.4
"282",77.5
"283",76.8
"284",77
"285",76.6
"286",76.5
"287",76.6
"288",76.3
"289",75.7
"290",74.8
"291",74.8
"292",74.8
"293",74.8
"294",75.2
"295",76.1
"296",77.9
"297",78.6
"298",79.2
"299",79.2
"300",80.1
"301",79.9
"302",79
"303",79.9
"304",79.3
"305",77.2
"306",75.7
"307",75.4
"308",75
"309",74.8
"310",74.7
"311",74.8
